state,K,delta_K,r,delta_r,I0,delta_I0
AL,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
AK,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
AZ,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
AR,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
CA,35525056.675501004,2.497530323365785e-16,0.30670245121315226,0.03447714855074061,0.18342717864356328,0.08170453827039414
CO,56686765.050433375,4.867045745913002e-18,0.15964601689779087,0.05388672625193745,0.1912266907747156,0.11182071042863437
CT,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
DC,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
DE,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
FL,120346802.47731838,1.3016941803838487e-17,0.1948295533615219,0.11906850832838024,0.22426799136067177,0.3254368382652364
GA,888867.0423258704,1115904168874.5703,0.2080165097472245,0.20189102656606606,0.07036318109323542,0.09197097447158438
HI,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
ID,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
IL,98173628.62480702,3.69603910958633e-19,0.2095982614970524,0.08382563665781517,0.0585481333643703,0.06046443117581353
IN,212775029.48809975,1.8098959403822495e-18,0.16558409121291523,0.10719813076091851,0.15609484280440933,0.16686314299687643
