state,K,delta_K,r,delta_r,I0,delta_I0
AL,29.607849810917205,2.102482285942164,0.8372892443172305,0.19327657937460013,0.209928834771766,0.22410806901771088
AK,61062167.51824096,1.983240796846775e-12,0.3489937760271698,0.03429458996043305,6.265382853482605,2.3849078649955113
AZ,222.71368197766944,70.12884472226074,0.24746126376375208,0.06980352551128856,17.730806333702994,6.103294828101718
AR,113539682.36006802,9.698847691851242e-14,0.3390686212083251,0.02152729731330199,4.285413424626869,1.0207891507815121
CA,9711.087741553982,2251.2069058308634,0.9999999999999896,0.4416382541697017,0.08200382895078852,0.3971766261462214
CO,299999998.95305854,1.2596956687192426e-11,0.2482399415750596,0.027309549519734206,57.89195468219537,18.37455895176001
CT,129.53466669582076,4.972368651584703,0.6011930521918969,0.08209393444530275,13.89546238054549,3.442743565579774
DC,252.59938382090618,107.34586650860618,0.3882878759216232,0.07849899807382611,1.8993153033133792,1.161277783588957
DE,41.41526995381773,3.883465237475604,0.35194527559576766,0.07019088620292398,6.49696837994012,1.4363364425536265
FL,71807341.57484902,6.106551920609105e-11,0.22033205845575923,0.010578172664512712,54.80418017680821,7.193117257846047
GA,256830645.1405946,9.694284225484981e-13,0.3558807995158001,0.20057288390522704,4.710706546623655,12.385673166448475
HI,223231635.1619819,5.061675894519815e-15,0.20754587853748405,0.22321460548095035,3.0947047968063415,6.489200906707737
ID,299999999.8618478,1.8590803050782872e-13,0.2716151945412454,0.011184839473849751,22.93961196479058,2.5121628904414015
IL,299999999.99999505,3.6217731655657095e-12,0.32910151292677964,0.03379223168319228,17.44908836254293,7.672686987850675
IN,177.1959423618852,21.155193502631164,0.45650697926270045,0.0678487657214326,3.6383286234559526,1.5382672210680488
IA,87.14541215143979,3.636435139201915,0.6405257361664023,0.09824157544019417,4.984182089907612,1.9294464905142674
KS,68882058.57898444,1.489071577396491e-12,0.36792434196365137,0.03770919495312708,5.362997303399978,2.2569368455872887
KY,707.6862397749361,219.53839660001185,0.38859539030682655,0.05123198480269792,6.727588450851826,2.3854164750965365
LA,125204916.62470207,5.289454360658123e-13,0.32884314046259844,0.026911202964521316,9.619041509349579,2.598586641704051
ME,175273928.29892516,2.2896852870685167e-11,0.3916733533910529,0.06757877420513352,22.08394783408026,15.274990682920059
MD,95.55524129815352,1.3000638149859738,0.7530391312005565,0.05876563871097384,13.474030118145215,1.7935150565317557
MA,268468190.4732065,1.9481090387472067e-12,0.40097635459956626,0.06467870529368501,6.779624662478127,5.806901565555581
MI,300.0861485303829,16.707399144046523,0.5865986076810277,0.06984918497051358,2.431566833059048,1.2181243990179362
MN,3343.197973960447,114.12631094765185,0.6002116349624703,0.023201377877653587,9.983612902749204,1.8162615366587547
MS,615.2812657899237,105.2404516455585,0.8436539887528876,0.16111353514372218,0.20488719371391798,0.2689540577202359
MO,338.0524712728201,71.56789370696187,0.513373106230526,0.09686376515786446,3.271111928762333,2.052379637535422
MT,248680118.0149444,2.6091636340071404e-13,0.34448872673201747,0.034567828539421454,10.115764462922261,3.5295522478434056
NE,1450.6040523759607,5380.681799973219,0.23214980193980958,0.07822201508447879,12.61605643104897,5.879246085501131
NV,176.04489147227503,12.563727834738438,0.9999999999999999,0.36360958157085765,0.7720072640476897,1.4967216881150303
NH,73405619.22433269,3.4211580989490065e-12,0.2596514088160131,0.018994984149158435,13.032954790227604,3.1384673639465093
NJ,82578933.3217082,3.919854908608101e-13,0.303685647650053,0.09660698830166349,3.4777308981204658,4.003200911124806
NM,112465057.32940616,5.6941668664892177e-11,0.3803105872355482,0.05228041920138453,20.96800194334704,12.273858486732662
NY,280072561.01224947,2.0876390413498858e-10,0.4204786711374789,0.05368473725166489,31.335024621519022,22.35971498327727
NC,174507926.22845268,1.3794681165794273e-11,0.31132197039480725,0.09516367998542659,15.1258452056045,18.625955533700417
ND,438.9537666362006,89.26228329007992,0.6177515327420015,0.080202946598291,0.7998788429353961,0.48743283129523707
OH,100122070.28751838,3.7197529445577167e-13,0.22718064393957546,0.039117593558924676,8.877576043685844,3.9865925792403063
OK,132513619.21176471,1.075285656838491e-13,0.4162106836341812,0.02377085379160444,3.8194375195803985,0.9348518353949634
OR,299999999.9998501,2.920385394203079e-12,0.23309412248445394,0.01932526173007903,38.186983848340866,9.22735811546313
PA,145367644.29436693,2.6620138839945036e-12,0.41966976368122927,0.037725891906695376,8.054875201877472,3.4334950380869054
RI,299999990.05591893,4.983075727229495e-13,0.2813870860808034,0.02508446841416229,22.800931985669397,5.627580959874215
SC,88015018.05442345,4.591923749843093e-13,0.35636282614175074,0.02717488209052902,3.4993605776868546,1.2467253541950496
SD,76294592.70740822,2.4152455373515158e-11,0.3076255257715137,0.05288458534410362,22.288514122614227,11.735318052708983
TN,125789545.42480733,8.076755251196738e-13,0.27998342431305057,0.028407694202395768,10.285761547281798,3.4485801097528026
TX,262894774.41787475,5.789451834571395e-12,0.34316281312483793,0.11340137625807475,11.393420930715832,16.88009624724304
