state,K,delta_K,r,delta_r,I0,delta_I0
AL,99563263.82752131,6.869367912127227e-15,0.11959543656086302,0.16634754593333473,5.573363433701991,7.896802117253487
AK,0.0010343854672428942,14.175350828470863,1.232910984745299e-05,0.1690817130162256,5.992458237955292,4.997079329314635
AZ,39329386.06548222,2.565610581642331e-13,0.1966104458555376,0.01761982777485199,6.037733237058221,1.298304002340726
AR,52749588.678948484,4.611368661849596e-14,0.22447334658035642,0.04571945453076057,3.2716986857731447,1.5682706513424356
CA,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
CO,0.0005877152789459981,1.8081390342991814,8.764320459587212e-06,0.02699587383254245,32.26063695412849,18.044180671220175
CT,0.0025668110047059292,5.787782629584628,0.0005057285254048358,1.1432095576283559,2.2544376263923587,2.325528555070532
DC,6.43726539572539,2.6722888019930404,0.9999999999990428,2.351185373107905,0.10090707626224589,0.9669097357627304
DE,18.3575197091471,6.266585693570586,0.9999999999999999,1.5734998803983469,0.07917430513966559,0.6613839463393509
FL,139982450.41312855,1.7659537601931904e-11,0.2264525841393007,0.0782290605605266,27.649431403130926,26.93969906398256
GA,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
HI,82773146.34878793,1.3482926621294124e-16,0.35222483143362177,0.18256270214374457,0.1793784754930925,0.33138375341651377
ID,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
IL,62.52098432958542,20.44694085113551,0.5799713592857829,1.271262462870087,19.373256832925208,36.79064355453721
IN,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
IA,0.013545294359338171,998.8416604240008,3.255724774567469e-05,2.4050195880533334,9.128475817833882,9.30322030068782
KS,0.002338851549707023,69.71537761736235,7.561611771888389e-05,2.256897026454958,2.673395466301677,5.330524194758672
KY,15369958.8752626,3.1487356968103665e-17,1.1254283573510178e-13,0.29276997240268243,0.23076925249828883,0.4777376854155209
LA,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
ME,185859240.9810576,3.12068368802559e-16,0.026541305444613656,0.11427610415241259,5.828751840796402,4.673689918965822
MD,2.9361179519473094e-05,0.02561534709900192,3.6174205217174586e-06,0.003165738519887642,14.593079788427039,2.578633141752594
MA,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
MI,19.396324379873406,3.848760725844499,0.9111663924177673,1.137817619866529,2.0181072120276293,5.223186992351127
MN,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
MS,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
MO,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
MT,11.00181261909483,11.966775249861552,0.9999999403015005,4.163529100699937,0.03060105745819146,0.7208878547243861
NE,18.49994968356639,5.243335892812697,0.9999999999999999,1.6971419379442378,0.5893828594629528,3.352489336288553
NV,219753622.5890947,1.225178750738837e-14,0.13298555467062798,0.3014500172398482,4.464588334916779,14.139557986066118
NH,55435051.543488406,9.829148205978953e-13,0.25238704377159665,0.04136207871065535,5.814506648075576,3.0382635307195702
NJ,45.65978877270595,9.779830393372947,0.9999999999999997,1.085314211986614,0.18849688216957183,1.1027758839432413
NM,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
NY,0.007754679192582982,69.75023620992738,2.032528973865252e-05,0.1829324278638963,89.31057103109234,78.7402801382351
NC,63687676.05598565,3.561353901553333e-13,0.16322760682006263,0.1809988959362715,5.770191909186568,12.37349267875494
