state,K,delta_K,r,delta_r,I0,delta_I0
AL,189342492.0204334,1.6912176996926342e-14,0.2000436787530938,0.038262225535234014,8.048515440392723,2.87516478702808
AK,62228584.649547346,1.9164664104428444e-12,0.3510773714147525,0.03433785719012461,6.193212977492278,2.361893980663333
AZ,280.7508140428389,98.27963624837135,0.23263124798794965,0.05948208885940743,20.447202732139928,6.043378377799593
AR,238890283.62356505,8.409993279284964e-14,0.2784308108787245,0.02357101344443988,9.424922491867262,2.4010681017915454
CA,10294.779358632544,2242.8894390578566,0.9999999999999941,0.4208963508270574,0.09009603728545454,0.41492669756493716
CO,299999999.9864914,1.6856806749899207e-11,0.24536772121312625,0.023469626138609027,68.29076057063406,18.598177379658168
CT,200.66822843194333,16.96704912475697,0.4006046106725696,0.05937123684463972,20.03744934462845,4.338362322334742
DC,100042088.39487837,8.633687763033233e-14,0.26536870411313257,0.017001487625889117,5.481066383823038,1.092509513611438
DE,87.52334994691995,19.911608969551136,0.2574018401679025,0.043826170687687564,7.453647269520165,1.3018548453658159
FL,299999996.0250298,4.651975550067441e-12,0.23734146744087065,0.010206102569911486,53.598047724582685,6.856252333073675
GA,264407070.35280052,1.594338939679767e-12,0.3510773280256893,0.15025333670128285,6.454235112426823,12.696726670971744
HI,268857436.37743205,2.1327826561453426e-15,0.35891263943776125,0.20265037042493994,1.1051130779940501,2.270997558686698
ID,299999910.1102786,1.8474560142935465e-13,0.2737018496806157,0.010550355042356794,22.90034902791084,2.368141723951069
IL,262156622.84013417,8.978620790866287e-12,0.31024744203074,0.030147945787700695,25.414621658762623,9.910905570951718
IN,240.51153747798466,35.72448886255321,0.4148022369156194,0.061010130917341615,5.476418843688664,2.056787606642921
IA,110.4434189483303,3.189548522891178,0.6455096239393562,0.06691059518807843,5.401248951363606,1.5005695798133611
KS,73168862.33981021,1.5716146161481014e-12,0.3623530416767776,0.03612197920715744,5.954094759177744,2.396519708059447
KY,752.2638842049422,218.57072534670314,0.3794333868274949,0.047412177467213865,8.107031187928019,2.610208010622737
LA,946.900187926502,182.26483642853103,0.5247545808168063,0.060447853804161275,4.503197521890447,1.910478543377531
ME,190834921.40593022,1.2372672619179475e-11,0.4240471462141659,0.06659792124887136,16.181209102916014,11.115713118770916
MD,176.9044641505917,21.977587394916547,0.28420960203218393,0.06234245160088742,29.505235797682275,6.06785106334048
MA,101104849.99964963,1.4627279286121343e-11,0.4076918104223539,0.04827136347190806,7.319038289237098,4.684816547011851
MI,121094462.89045233,2.697265205764755e-12,0.21576723023434072,0.024758678767143986,24.7303732117788,6.976252576666554
MN,3440.561966670993,117.58857681367626,0.6002774758238617,0.02317880583762164,10.224795189390859,1.8592788809157932
MS,201469067.43196002,4.520463025623669e-13,0.3712494654908966,0.040429111169307,8.650477047865348,3.5595703518520785
MO,59284133.03214173,2.0549882821826578e-12,0.29641981014221525,0.028910389026230145,10.795077544445459,3.09227686026998
MT,249438216.26933804,2.406617331702399e-13,0.3496694818260484,0.031803156715543575,9.85340063731646,3.1684509101239664
NE,880.3428517431029,1359.6886839946092,0.24883794991657382,0.07053832670554656,13.099342965114245,5.598560555635388
NV,211.52136303183835,13.100436275546182,0.9999999999994309,0.3062278717941078,0.6712923131550325,1.160340172415751
NH,80263602.48391828,2.4139303136080276e-12,0.27705741857701033,0.018845548024276616,10.939777504520936,2.633922257089557
NJ,218965216.5166597,4.6926630125444e-13,0.3250446381987151,0.04276535423838926,8.101689782680005,4.1590918550269
NM,114204733.17221336,2.1515256337376284e-11,0.4285398037377688,0.044353602024150375,12.437595864374483,6.244408781574243
NY,299999993.7838875,3.1214032550378584e-10,0.4128614321211605,0.04325773262712856,42.17563672597353,24.215911223024676
NC,177698802.5323132,1.959488014487565e-12,0.41240911020130666,0.09637028079119239,4.208978357691858,5.3834377701824945
ND,63155406.486251675,3.6611173099225305e-13,0.39775013022599554,0.028214601951049294,3.6421660347598315,1.0534235303974555
OH,245.28518227863236,23.62982193717173,0.7645741048547385,0.15440642084120856,0.1726472490448901,0.23137717034148067
OK,137291194.71118066,9.002637292900524e-14,0.43477850935852,0.0223831149891133,3.4318369043902623,0.7941785313791162
OR,299999999.99990624,3.6159903074988987e-12,0.2304174672279969,0.01880852975501169,42.27776265875001,9.92726383215857
PA,173667192.63465723,7.199473492872571e-12,0.3496343591916968,0.03153481260059609,19.809678141187568,6.93506006038088
RI,299999999.5123962,6.298589093319461e-13,0.2759780179202328,0.02463873181688034,25.707494994291356,6.215534306757397
SC,124922257.83443323,9.032860671792199e-13,0.31044670999636903,0.03133633819837779,7.101405627249941,2.878681676489238
SD,608.3790674692538,17.34909210590351,0.9999999999999996,0.07451001759179172,0.26747298596529706,0.1446807760704238
TN,635.1903231330656,107.87681153223467,0.4884184688480477,0.06932475554963298,2.801724896666164,1.6136479738261607
TX,264637474.94607568,4.822056473501286e-13,0.45905393084389,0.12012599131486106,2.4308825630838324,3.9061798637841503
UT,179.23533948971792,14.763305331326816,0.9999999999999964,0.3541466128214887,1.1486820042321115,1.9849010916047225
VT,246308927.0587249,1.0931003543159716e-12,0.2737111126064215,0.02050764864392014,24.511404889664863,5.420779503177247
VA,267657589.95559272,8.147742913527972e-13,0.38601145245393587,0.031282182786241994,8.557756133952665,3.2677977120612733
WA,20342.324681597252,1216.6091294855285,0.40952614454427727,0.018870117762826936,150.47847012174907,24.06881185005134
WV,229913791.9616644,4.0484179983842974e-14,0.1742487464825774,0.05021145534084685,11.806904251987808,5.96445049150557
WI,258297999.34232056,3.1784081626246273e-12,0.3358136187821932,0.0412664660697907,13.554052986272966,7.292480963191311
WY,65164973.91435681,7.968572437681117e-14,0.4636292250155153,0.13400904919172923,0.9484188288118257,1.3215079528955676
USA,1668801.7623216244,3515244.3302398426,0.33926003082871975,0.017458842811320242,670.4514756213797,105.76741931964166
