state,K,delta_K,r,delta_r,I0,delta_I0
AL,106889039.55960694,1.0322481717570618e-14,0.184969309086585,0.07147978679484025,4.37028571550558,2.877721464142019
AK,242811314.61054567,1.922630718808681e-18,0.3577243343169524,0.07285699229897716,0.06578287367668893,0.053334098397387314
AZ,218828786.63868862,4.120656495594394e-16,0.11148687251700662,0.02073345805013578,4.225177450431975,0.9703783986454704
AR,40.519646979854805,9.341147499125562,0.5263974056128408,0.11607810041064238,0.22547498318766193,0.19595803444336507
CA,299999999.998628,5.614876654271549e-13,0.19666201248896328,0.00982407674771657,36.74901567356387,4.406111852644594
CO,193.21541276329634,11.268587197889193,0.5679610273650931,0.05714063663266241,1.151268173454362,0.5044848661754233
CT,28693945.809601933,2.605336621292377e-13,0.23463217805836872,0.051691325979789544,4.075674361813083,2.018499441940829
DC,23149329.43141525,1.2459140455612971e-14,0.25592215421779296,0.02041901168241571,1.089068056878856,0.25949580022756796
DE,16852535.265954036,1.7659377303860737e-15,0.4325998179516563,0.035139249724962435,0.13617770178405725,0.054209438336533404
FL,115781815.32953557,4.3507228723829783e-14,0.343462033266157,0.01876010762120621,2.351042191971901,0.576280464324401
GA,45947641.93860565,4.5239138446901374e-13,0.2531183092647804,0.014472512760340322,5.577394661599276,1.0201000228832107
HI,246962961.25699744,7.467764424414523e-18,0.38993152517836277,0.05305984895868439,0.19172547131029216,0.10407413891305377
ID,149173704.4676416,1.0474728283592753e-16,0.14565697516528053,0.07531148661907097,1.1485518845506781,0.7635698850809698
IL,76477559.17406482,2.051226822297469e-13,0.31974668986265026,0.04015574588651321,2.704125034009477,1.4089227286539345
IN,184.35723713482508,251.33975362406142,0.26497328073073406,0.046944814546724695,1.9856663428568195,0.5284181896887642
IA,27.18348151846855,3.369398186472731,0.46482892600283704,0.11438596577593099,1.3235799519247036,0.7506680999469688
KS,23.717425950540175,5.058475413302606,0.44585501647758696,0.07272083706763122,0.24949014262533897,0.12658971199278196
KY,34.23498088681983,4.8952051093658975,0.36007089339820264,0.04644872131228862,1.2716229252749152,0.32534428818184946
LA,222748364.88114062,5.777273559887535e-14,0.31199588206509243,0.02745582733882281,7.418293223193421,2.0314208180293045
