state,K,delta_K,r,delta_r,I0,delta_I0
AL,85.2485236975561,11.215597422983235,0.9999999999999999,0.46485037482228136,0.14610899784816647,0.41408414923787634
AK,189977971.53940478,2.672566663563728e-13,0.33464393423774175,0.033871328551491775,7.456862122381532,2.7907276330025286
AZ,491.9404203843779,180.20106211692755,0.22598806653930667,0.0431838448295179,25.75849234141687,5.958672807773347
AR,663.8986513679539,178.63902670097391,0.4257088331261702,0.04566514288857606,3.7135527303583564,1.2564200122970763
CA,170938519.5806339,3.4623827404553737e-09,0.3355569540742825,0.06740898873681286,90.06221417735163,79.14707464633538
CO,299999999.98889786,1.7929148348561023e-11,0.24057767120851634,0.023403956230373387,72.26084737306681,19.57155587433258
CT,204.67585856570506,19.606822151729546,0.3815068055448809,0.06029458048438624,21.67081838806271,4.657042546666487
DC,100678160.74191868,1.894536129253993e-13,0.24001676295602395,0.023340389292703708,7.705274696440553,2.0806064643834583
DE,69.20422730457796,7.206876743609653,0.6637497328540723,0.22916805560896214,1.9280899058628451,2.151676391900913
FL,299999881.5314725,4.137233896702493e-11,0.23450441135927513,0.028398267506698112,80.54730934595385,28.623896666533724
GA,264407070.35280052,1.594338939679767e-12,0.3510773280256893,0.15025333670128285,6.454235112426823,12.696726670971744
HI,40089288.222254,2.019310182098981e-13,0.32489618219034067,0.19294277020275102,1.7338164278165116,3.353281892166473
ID,299999910.1102786,1.8474560142935465e-13,0.2737018496806157,0.010550355042356794,22.90034902791084,2.368141723951069
IL,299999999.9999996,9.889816038143091e-12,0.2852728207250724,0.025130529304306235,36.09416882467673,11.62707142175538
IN,240.51153747798466,35.72448886255321,0.4148022369156194,0.061010130917341615,5.476418843688664,2.056787606642921
IA,110.17298277897729,4.8126940088197285,0.9525953333013338,0.2183218131990153,3.019828226900083,2.4014010617284303
KS,72364054.8666608,1.743096432196267e-12,0.35676349504656946,0.03568730704664172,6.343795584217828,2.5186201039255804
KY,759.9553280832458,224.87583515590893,0.3774878327665852,0.047275459893903166,8.21795110645538,2.633608668786539
LA,946.900187926502,182.26483642853103,0.5247545808168063,0.060447853804161275,4.503197521890447,1.910478543377531
ME,2276.319984834336,429.8533385559518,0.9999999999999999,0.2104702121169164,0.12809409845705372,0.2328389092343277
MD,206.74138372286112,40.227623222609715,0.21592361006950772,0.049978969505742814,36.97428419431166,5.507477912820132
MA,101104849.99964963,1.4627279286121343e-11,0.4076918104223539,0.04827136347190806,7.319038289237098,4.684816547011851
MI,391.11989663777,24.156939406806686,0.540274137553849,0.06502776524577829,4.544631095293653,2.063908001221916
MN,3440.561966670993,117.58857681367626,0.6002774758238617,0.02317880583762164,10.224795189390859,1.8592788809157932
MS,201469067.43196002,4.520463025623669e-13,0.3712494654908966,0.040429111169307,8.650477047865348,3.5595703518520785
MO,59284133.03214173,2.0549882821826578e-12,0.29641981014221525,0.028910389026230145,10.795077544445459,3.09227686026998
